"","Site","NetType","NetTypeRep","Rep","DebitL","PartType","Polymer","Count","PPML1","Salinity"
"1","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyethylene",NA,NA,"AVarennes"
"2","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyester",NA,NA,"AVarennes"
"3","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polypropylene",NA,NA,"AVarennes"
"4","AVarennes","Manta","Manta-1","1",120096,"Sphere","Nylon",NA,NA,"AVarennes"
"5","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polystyrene",NA,NA,"AVarennes"
"6","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyethylene+Polypropylene",NA,NA,"AVarennes"
"7","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyvinyl acetate",NA,NA,"AVarennes"
"8","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyvinyl acrylate",NA,NA,"AVarennes"
"9","AVarennes","Manta","Manta-1","1",120096,"Sphere","Poly(acrylate-styrene)",NA,NA,"AVarennes"
"10","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyacrylonitrile",NA,NA,"AVarennes"
"11","AVarennes","Manta","Manta-1","1",120096,"Sphere","Ethylene vinyl acetate",NA,NA,"AVarennes"
"12","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyether urethane",NA,NA,"AVarennes"
"13","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyvinyl Chloride",NA,NA,"AVarennes"
"14","AVarennes","Manta","Manta-1","1",120096,"Sphere","Poly(chloroprene)",NA,NA,"AVarennes"
"15","AVarennes","Manta","Manta-1","1",120096,"Sphere","Poly(methyl methacrylate)",NA,NA,"AVarennes"
"16","AVarennes","Manta","Manta-1","1",120096,"Sphere","Polyethylacrylate",NA,NA,"AVarennes"
"17","AVarennes","Manta","Manta-1","1",120096,"Sphere","Silicone",NA,NA,"AVarennes"
"18","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyethylene",NA,NA,"AVarennes"
"19","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyester",NA,NA,"AVarennes"
"20","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polypropylene",NA,NA,"AVarennes"
"21","AVarennes","Manta","Manta-2","2",155520,"Sphere","Nylon",NA,NA,"AVarennes"
"22","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polystyrene",NA,NA,"AVarennes"
"23","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyethylene+Polypropylene",NA,NA,"AVarennes"
"24","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyvinyl acetate",NA,NA,"AVarennes"
"25","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyvinyl acrylate",NA,NA,"AVarennes"
"26","AVarennes","Manta","Manta-2","2",155520,"Sphere","Poly(acrylate-styrene)",NA,NA,"AVarennes"
"27","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyacrylonitrile",NA,NA,"AVarennes"
"28","AVarennes","Manta","Manta-2","2",155520,"Sphere","Ethylene vinyl acetate",NA,NA,"AVarennes"
"29","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyether urethane",NA,NA,"AVarennes"
"30","AVarennes","Manta","Manta-2","2",155520,"Sphere","Polyvinyl Chloride",NA,NA,"AVarennes"
"31","AVarennes","Manta","Manta-2","2",155520,"Sphere","Poly(chloroprene)",NA,NA,"AVarennes"
"32","AVarennes","Manta","Manta-2","2",155520,"Sphere","Poly(methyl methacrylate)",NA,NA,"AVarennes"
